created_at,text,username,retweet_count,favorite_count,media_url
2024-08-08T20:17:11.000000Z,"ðŸš€ New Article Alert! ðŸš€
Curious about Ethereum? Our latest Dex-Trade Academy blog post explains everything you need to know about this revolutionary platform. Learn about smart contracts, dApps, and more!
ðŸ‘‰ https://t.co/7wFYiCeosN
#Ethereum #Crypto #Blockchain #DexTradeAcademy",dextrade_,370,374,https://pbs.twimg.com/media/GUfFlH7X0AA8DhF.jpg
2024-08-08T21:48:30.000000Z,#Bitcoin BLASTS through $60K ðŸ‘€ https://t.co/wEsUyxavGt,BitcoinNewsCom,2,15,https://pbs.twimg.com/media/GUfaZPPWUAAP6Xc.jpg
2024-08-08T20:12:33.000000Z,"Breaking News!

CleanSpark Postpones Third Quarter 2024 Financial Results Webcast

WTF????

$CLSK #CLSK $BTC #BTC #Bitcoin 

Link: https://t.co/0ziDC273M3",CK_Cryptoklepto,11,39,https://pbs.twimg.com/media/GUfEOKSWwAANauw.jpg
2024-08-07T23:03:09.000000Z,"NEW: A pro-Kamala Harris advocacy group called ""Crypto for Harris"" plans to host a virtual town hall meeting next week including Mark Cuban, Anthony Scaramucci and a handful of DemocraticÂ members of the House of Representatives. https://t.co/MkCoMFhLRl",BitcoinNewsCom,17,78,https://pbs.twimg.com/media/GUah_JVXQAAFXOM.jpg
2024-08-01T14:18:39.000000Z,"ðŸ’¥ @Rivalz_AI officially joined @Chainlink BUILD Program!

ðŸ’¥ #Rivalz Networkâ€™s mission is to build the largest #AI data network, setting the benchmark for data security and accessibility in the decentralized AI landscape

ðŸ”½ VISIT
https://t.co/5oHRwtMAjC
#SCN1 https://t.co/4kHyY8gN5H",SmartCryptoNew1,53,84,https://pbs.twimg.com/media/GT5wXpRWgAAdlEp.jpg
2024-07-31T10:00:45.000000Z,"#BTC dominance: 54.8% (-0.1%)

#ETH dominance: 16.7% (0%)

#ALTS dominance: 28.5% (+0.1%)

âœ…Updates in 24h
#SCN1 https://t.co/15OCtq3zU2",SmartCryptoNew1,58,91,https://pbs.twimg.com/media/GTzrwBLbwAASwqP.png
2024-08-08T15:02:25.000000Z,BREAKING News ðŸš¨ðŸš¨: ðŸ‡·ðŸ‡º President Putin signs law legalizing #Bitcoin and crypto mining in Russia. https://t.co/v5sQhdl2P0,pushpendrakum,39,226,https://pbs.twimg.com/media/GUd9i1aW4AA_tgQ.jpg
2024-08-08T14:25:09.000000Z,JUST IN: ðŸ‡·ðŸ‡º President Putin signs law legalizing cryptocurrency mining in Russia. https://t.co/GqpcmFTqDR,BRICSinfo,1736,9637,https://pbs.twimg.com/media/GUd1BGRXsAASMC9.jpg
2024-08-08T14:50:53.000000Z,"BREAKING:

Russia legalizes crypto payments and mining. 

This bold move aims to bypass Western sanctions and keep trade flowing. https://t.co/HNisKZopQw",GlobeEyeNews,745,5220,https://pbs.twimg.com/media/GUd64rLa0AA4cUv.jpg
2024-08-08T17:51:59.000000Z,#Bitcoin Price Nears $58.5K for the Week as US Employment Data Misses Expectations https://t.co/E7r01TO2U3,cryptodataspace,13,220,
2024-08-02T10:54:00.000000Z,"ðŸ”¶ #SCN1 DAILY DIGEST 
01.08.24

ðŸ”¶ @BitRivals x @Planetix0 

ðŸ”¶ @InceptionLRT Smart Contract Audit by @HalbornSecurity and @VeridiseInc 

ðŸ”¶ @Hypermove_io x @Seascapenetwork 

ðŸ”¶ @Rivalz_AI x @Chainlink

ðŸ”¶ @PichiFinance $2.5M Seed Funding Round 

ðŸ”¶ @Porosquirrel Listed on @Toobit_official 

ðŸ”¶ @Mises001 x @Mozo_xyz",SmartCryptoNew1,63,95,https://pbs.twimg.com/tweet_video_thumb/GT-LFRYXMAEzzrW.jpg
2024-07-31T21:17:51.000000Z,.@cryptoquant_com Insights: #Bitcoin Miners See Revenue Boost as Hashrate Soars  https://t.co/XK7IenWrMu,BTCTN,33,36,
2024-08-08T13:44:44.000000Z,"The Degrowth of Bitcoin

https://t.co/dHTdZmtIWe

#News #Opinion #Bitcoin #BitcoinMagazine #crypto #Culture #Degrowth #news #opinion 
https://t.co/dHTdZmtIWe",CryptoBreakNews,0,0,
2024-08-08T21:32:42.000000Z,Federal Reserve Cites Significant Deficiencies in Customers Bancorpâ€™s AML Compliance  https://t.co/LRBdkqHdeA,BTCTN,3,12,
2024-08-08T18:07:24.000000Z,US Court Orders #FTX and #Alameda to Pay $12.7 Billion to Fraud Victims in Historic #CFTC Recovery  https://t.co/8NWpo4Kbt0,BTCTN,16,38,
2024-08-08T20:11:02.000000Z,Avraham Eisenberg Seeks Acquittal of #MangoMarkets Conviction  https://t.co/PeEa43P1zx,BTCTN,3,8,
2024-08-08T21:46:19.000000Z,"Following Court Ruling, #XRP Price Skyrockets as South Korea Leads the Charge  https://t.co/eRJ13VNFbs",BTCTN,0,5,
2024-08-08T14:36:42.000000Z,"ðŸš¨BREAKING: MAJOR BLACK SWAN EVENT IS HAPPENING!!

XRP and CTF Token suddenly are priced at $198.53 for minutes on CMC.

Trading has been Halted on Multiple Crypto exchanges.

CryptoTradingFund Token (https://t.co/Vw93uDoegt) on the XRP Ledger has also begun Skyrocketing, Has the BULLRUN STARTED?!",CryptoGeekNews,87,386,https://pbs.twimg.com/media/GUd3l7UWAAEklmz.png
2024-08-07T19:39:34.000000Z,"BREAKING NEWS ðŸš¨

Imagine being able to seamlessly swap Tari assets for Bitcoin ðŸ¤¯

Now imagine it being fast, easy, and cheap ðŸ¤¯ðŸ¤¯

@PortaltoBitcoin is making it happen (after Tari launches) and we are SO hyped!

Thanks guys, we ðŸ’œ you https://t.co/mHGt7tGgJO",tari,7227,8122,https://pbs.twimg.com/ext_tw_video_thumb/1821269468892241920/pu/img/oCeXBOM1YErauBks.jpg
